timestamp,spi_sent
2026-01-10 17:07:08,44 72 62 46 0 75 18 0 0
2026-01-10 17:07:18,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:23,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:28,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:33,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:38,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:43,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:48,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:53,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:58,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:03,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:08,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:13,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:18,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:18,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:23,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:28,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:33,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:38,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:43,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:48,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:53,44 72 62 46 0 75 18 0 1
